ID,SumLoad,NormLoad,AvgLoad,NormRatio,Country,State,SiteName
724675_TMY2,"[993.62527846 851.34384118 847.25935205 745.76309196 696.13097736
 601.47700306 609.51737827 583.66531916 646.77126616 762.31727543
 846.37011116 977.25293949]","[1.         0.85680574 0.85269505 0.75054762 0.70059709 0.60533585
 0.61342781 0.58740989 0.6509207  0.76720801 0.8518001  0.98352262]","[1.33551785 1.26688072 1.13878945 1.03578207 0.93565992 0.83538473
 0.81924379 0.7844964  0.89829343 1.02461999 1.17551404 1.31351202]",993.6252784573949,USA,CO,Eagle
723080_TMY2,"[1186.44010736 1049.55508263 1044.90052448  918.08729918  856.79706983
  989.9004614  1274.31020896 1103.50532359 1066.70687782  999.87545854
  985.438415   1112.6710233 ]","[0.93104497 0.82362605 0.81997344 0.72045825 0.67236146 0.77681278
 1.         0.86596287 0.83708572 0.78464055 0.77331125 0.87315554]","[1.59467756 1.56183792 1.40443619 1.27512125 1.15160896 1.37486175
 1.71278254 1.48320608 1.48153733 1.34391863 1.36866447 1.49552557]",1274.310208960555,USA,VA,Norfolk
725830_TMY2,"[951.38431552 807.34256402 802.83597767 725.83043187 683.70349968
 617.53125981 739.40010502 679.35656614 647.03355549 743.8439412
 814.23075038 933.41797175]","[1.         0.84859772 0.84386085 0.76292033 0.71864071 0.64908707
 0.77718341 0.71407165 0.68009693 0.78185432 0.8558379  0.98111558]","[1.27874236 1.20140263 1.07908062 1.00809782 0.91895632 0.85768231
 0.99381735 0.91311366 0.89865772 0.99979024 1.13087604 1.25459405]",951.3843155206198,USA,NV,Winnemucca
725360_TMY2,"[974.61145952 846.39984141 828.26615862 726.87038403 662.4483565
 583.19962987 676.21278382 631.46772211 660.70911686 743.19746934
 797.52582623 943.90133085]","[1.         0.86844848 0.84984242 0.74580529 0.67970508 0.59839193
 0.69382807 0.6479174  0.67792053 0.7625577  0.8183013  0.96848988]","[1.30996164 1.25952357 1.11326097 1.0095422  0.89038758 0.80999949
 0.90888815 0.84874694 0.91765155 0.99892133 1.10767476 1.26868458]",974.6114595179351,USA,OH,Toledo
726686_TMY2,"[1004.78707403  861.28647135  821.06697522  729.89320982  668.9040872
  590.94852431  715.60239179  771.70017103  649.86331271  744.96170958
  812.6279723   948.1414584 ]","[1.         0.85718307 0.81715519 0.7264158  0.66571725 0.58813309
 0.71219307 0.76802359 0.64676719 0.74141251 0.8087564  0.94362426]","[1.35052026 1.2816763  1.10358464 1.01374057 0.89906463 0.82076184
 0.96183117 1.03723141 0.90258793 1.00129262 1.12864996 1.27438368]",1004.7870740334895,USA,SD,Pierre
725970_TMY2,"[825.62892683 708.50420974 699.87906251 627.70369668 598.10171967
 530.5401854  545.84958146 534.87525334 567.13756215 674.62324193
 712.84655771 812.13183966]","[1.         0.85813879 0.84769203 0.76027338 0.72441953 0.64258914
 0.66113185 0.64783977 0.68691581 0.81710224 0.86339823 0.98365236]","[1.1097163  1.05432174 0.94069766 0.87181069 0.80390016 0.73686137
 0.73366879 0.71891835 0.78769106 0.90675167 0.99006466 1.09157505]",825.628926831881,USA,OR,Medford
703080_TMY2,"[964.27429083 875.78560643 883.62074343 796.42946757 758.22309674
 664.08413995 659.19913176 580.25930304 686.03950341 797.00394929
 846.0513244  956.10378924]","[1.         0.90823287 0.91635829 0.82593664 0.78631475 0.68868801
 0.68362201 0.60175752 0.7114568  0.82653241 0.87739695 0.99152679]","[1.2960676  1.30325239 1.18766229 1.10615204 1.01911707 0.92233908
 0.88602034 0.77991842 0.95283264 1.07124187 1.17507128 1.28508574]",964.2742908290555,USA,AK,St Paul Island
726387_TMY2,"[981.99237567 863.92560438 847.37893121 726.22076261 679.47587461
 594.59523425 643.51924736 618.54439618 646.31916025 754.53613162
 811.64491632 954.20720843]","[1.         0.87976814 0.86291804 0.73953809 0.691936   0.60549883
 0.65532    0.62988717 0.65817126 0.7683727  0.82652874 0.97170531]","[1.31988223 1.28560358 1.13895018 1.00863995 0.91327403 0.82582671
 0.86494522 0.83137688 0.8976655  1.01416147 1.12728461 1.28253657]",981.9923756698099,USA,MI,Traverse City
725246_TMY2,"[961.75752751 852.83044599 815.00828366 720.08030593 658.43609156
 589.57005079 670.31539982 620.80976848 675.99587732 740.54819356
 795.96457982 930.80745971]","[1.         0.88674164 0.84741555 0.74871294 0.68461756 0.61301319
 0.69696923 0.6454951  0.70287558 0.76999469 0.82761461 0.96781926]","[1.29268485 1.26909293 1.09544124 1.00011154 0.88499475 0.81884729
 0.90096156 0.83442173 0.93888316 0.99536048 1.10550636 1.2510853 ]",961.7575275069972,USA,OH,Mansfield
727640_TMY2,"[1024.3562891   870.67116814  833.22704828  725.47094384  675.78986234
  585.77793953  667.73397942  598.75610279  641.90406237  760.44108153
  837.51585655  994.61694963]","[1.         0.84996908 0.81341527 0.7082213  0.65972149 0.5718498
 0.65185716 0.58451938 0.6266414  0.74235995 0.8176021  0.97096778]","[1.37682297 1.29564162 1.11992883 1.00759853 0.90831971 0.81358047
 0.89749191 0.80477971 0.89153342 1.02209823 1.16321647 1.33685074]",1024.3562891009467,USA,ND,Bismarck
